Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
235;21100396345;"International Journal of Learning and Change";journal;"17402875, 17402883";0,194;Q4;12;31;110;1819;74;108;0,68;58,68;Switzerland;Western Europe;"Inderscience";"2005, 2015-2023";"Education (Q4); Management of Technology and Innovation (Q4)";"Business, Management and Accounting; Social Sciences"
236;19700177546;"Industria";journal;"19738137, 00197416";0,193;Q4;12;12;84;937;45;84;0,28;78,08;Italy;Western Europe;"Societa Editrice Il Mulino";"2010-2023";"Economics, Econometrics and Finance (miscellaneous) (Q3); Business and International Management (Q4); Management of Technology and Innovation (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance"
237;21100874739;"Systemes d'Information et Management";journal;"12604984, 22717188";0,193;Q4;5;0;40;0;16;32;0,38;0,00;France;Western Europe;"IAE School of Management Montpellier University";"2018-2022";"Management Information Systems (Q4); Management of Technology and Innovation (Q4)";"Business, Management and Accounting"
238;18700156730;"International Journal of Technoentrepreneurship";journal;"17465370, 17465389";0,192;Q4;10;4;16;289;19;16;0,83;72,25;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2007, 2009, 2011, 2015-2017, 2020, 2022";"Business and International Management (Q4); Economics and Econometrics (Q4); Management of Technology and Innovation (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance"
239;21101038735;"Journal of Evolutionary Studies in Business";journal;"23857137";0,192;Q4;5;16;49;896;44;49;0,70;56,00;Spain;Western Europe;"Universitat de Barcelona, Facultad de Economia y Empresa";"2019-2023";"Development (Q3); Business and International Management (Q4); Management of Technology and Innovation (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Social Sciences"
240;21100219935;"International Journal of Operations and Quantitative Management";journal;"10821910";0,191;Q4;14;22;69;1259;75;69;1,19;57,23;United States;Northern America;"International Forum of Management Scholars (INFOMS)";"2000-2023";"Business and International Management (Q4); Information Systems and Management (Q4); Management of Technology and Innovation (Q4); Management Science and Operations Research (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Decision Sciences"
241;21100220476;"International Journal of Work Innovation";journal;"20439032, 20439040";0,190;Q4;8;25;19;1448;34;19;1,73;57,92;United Kingdom;Western Europe;"Inderscience";"2012, 2015-2017, 2020, 2022-2023";"Communication (Q3); Computer Networks and Communications (Q4); Management of Technology and Innovation (Q4); Organizational Behavior and Human Resource Management (Q4)";"Business, Management and Accounting; Computer Science; Social Sciences"
242;21100943319;"Educational Administration: Theory and Practice";journal;"13004832, 21482403";0,188;Q4;7;83;85;3770;185;83;2,35;45,42;Turkey;Middle East;"Auricle Global Society of Education and Research";"2019-2023";"Education (Q4); Management of Technology and Innovation (Q4); Organizational Behavior and Human Resource Management (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Social Sciences"
243;21100396293;"International Journal of Electronic Finance";journal;"17460077, 17460069";0,186;Q4;20;32;38;1650;53;38;1,45;51,56;Switzerland;Western Europe;"Inderscience";"2006-2016, 2018-2023";"Computer Networks and Communications (Q4); Computer Science Applications (Q4); E-learning (Q4); Finance (Q4); Management of Technology and Innovation (Q4)";"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance; Social Sciences"
244;21101030394;"Business Informatics";journal;"25878158, 2587814X";0,182;Q4;11;24;73;897;65;73;1,04;37,38;Russian Federation;Eastern Europe;"National Research University, Higher School of Econoimics";"2017-2023";"Business and International Management (Q4); Economics and Econometrics (Q4); Information Systems (Q4); Management Information Systems (Q4); Management of Technology and Innovation (Q4)";"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance"
