Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
231;18056;"Jiqiren/Robot";journal;"10020446";0,309;Q3;31;51;207;2468;383;207;1,56;48,39;China;Asiatic Region;"Chinese Academy of Sciences";"1998, 2001-2023";"Applied Mathematics (Q3); Artificial Intelligence (Q3); Electrical and Electronic Engineering (Q3); Mechanical Engineering (Q3); Modeling and Simulation (Q3); Software (Q3)";"Computer Science; Engineering; Mathematics"
232;21101041536;"SAE International Journal of Connected and Automated Vehicles";journal;"25740741, 2574075X";0,309;Q3;7;33;95;1277;129;88;1,32;38,70;United States;Northern America;"SAE International";"2019-2023";"Automotive Engineering (Q2); Artificial Intelligence (Q3); Computer Science Applications (Q3); Control and Systems Engineering (Q3)";"Computer Science; Engineering"
233;25507;"Informatica (Slovenia)";journal;"18543871, 03505596";0,308;Q3;39;142;291;4838;453;285;1,47;34,07;Slovenia;Eastern Europe;"Slovene Society Informatika";"1995-2023";"Artificial Intelligence (Q3); Computer Science Applications (Q3); Software (Q3); Theoretical Computer Science (Q4)";"Computer Science; Mathematics"
234;21100864387;"International Journal of Swarm Intelligence Research";journal;"19479263, 19479271";0,307;Q3;11;10;117;349;155;117;1,15;34,90;United States;Northern America;"IGI Global Publishing";"2016-2023";"Artificial Intelligence (Q3); Computational Theory and Mathematics (Q3); Computer Science Applications (Q3)";"Computer Science"
235;21101063739;"Journal of Medical Artificial Intelligence";journal;"26172496";0,307;Q4;8;27;37;1557;47;30;0,95;57,67;Hong Kong;Asiatic Region;"AME Publishing Company";"2018-2023";"Medicine (miscellaneous) (Q3); Artificial Intelligence (Q4)";"Computer Science; Medicine"
236;21100826286;"Fuzzy Information and Engineering";journal;"16168658, 16168666";0,304;Q4;25;23;88;682;152;88;1,72;29,65;United Kingdom;Western Europe;"Tsinghua University Press";"2011, 2014-2023";"Applied Mathematics (Q3); Control and Systems Engineering (Q3); Industrial and Manufacturing Engineering (Q3); Information Systems (Q3); Logic (Q3); Management Science and Operations Research (Q3); Artificial Intelligence (Q4); Theoretical Computer Science (Q4)";"Computer Science; Decision Sciences; Engineering; Mathematics"
237;24310;"International Journal of Pattern Recognition and Artificial Intelligence";journal;"02180014, 17936381";0,302;Q4;62;200;663;7930;921;661;1,20;39,65;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"1995-2023";"Computer Vision and Pattern Recognition (Q3); Software (Q3); Artificial Intelligence (Q4)";"Computer Science"
238;21100255064;"Mendel";journal;"18033814";0,302;Q4;15;32;51;1136;82;51;1,73;35,50;Czech Republic;Eastern Europe;"Brno University of Technology";"2005-2007, 2009-2023";"Computational Mathematics (Q3); Computer Science (miscellaneous) (Q3); Control and Systems Engineering (Q3); Decision Sciences (miscellaneous) (Q3); Artificial Intelligence (Q4); Theoretical Computer Science (Q4)";"Computer Science; Decision Sciences; Engineering; Mathematics"
239;144653;"Artificial Life and Robotics";journal;"14335298";0,301;Q4;24;96;249;1922;269;249;1,22;20,02;Japan;Asiatic Region;"Springer Japan";"1997-1998, 2000, 2005-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Artificial Intelligence (Q4)";"Biochemistry, Genetics and Molecular Biology; Computer Science"
240;21100216911;"International Conference Recent Advances in Natural Language Processing, RANLP";conference and proceedings;"13138502";0,299;-;35;150;219;4883;305;215;1,39;32,55;United States;Northern America;"Association for Computational Linguistics (ACL)";"2005-2009, 2011, 2013, 2015, 2017, 2019, 2021";"Artificial Intelligence; Computer Science Applications; Electrical and Electronic Engineering; Software";"Computer Science; Engineering"
241;21101047137;"Springer Proceedings in Advanced Robotics";conference and proceedings;"25111264, 25111256";0,296;-;24;94;637;2657;644;172;0,91;28,27;Switzerland;Western Europe;"";"2017-2023";"Applied Mathematics; Artificial Intelligence; Computer Science Applications; Control and Systems Engineering; Electrical and Electronic Engineering; Engineering (miscellaneous); Mechanical Engineering";"Computer Science; Engineering; Mathematics"
242;4700152645;"International Journal on Artificial Intelligence Tools";journal;"02182130, 17936349";0,288;Q4;39;83;179;3468;248;169;1,33;41,78;Singapore;Asiatic Region;"World Scientific";"2005-2023";"Artificial Intelligence (Q4)";"Computer Science"
243;79015;"Kongzhi yu Juece/Control and Decision";journal;"10010920";0,288;Q4;52;371;1066;12711;1536;1066;1,58;34,26;China;Asiatic Region;"Northeast University";"1997-2023";"Control and Optimization (Q3); Control and Systems Engineering (Q3); Artificial Intelligence (Q4); Software (Q4)";"Computer Science; Engineering; Mathematics"
244;21101060452;"Vietnam Journal of Computer Science";journal;"21968896";0,285;Q4;9;30;78;1273;116;78;1,38;42,43;Singapore;Asiatic Region;"World Scientific";"2019-2023";"Computational Theory and Mathematics (Q3); Computer Science (miscellaneous) (Q3); Computer Vision and Pattern Recognition (Q3); Information Systems (Q3); Artificial Intelligence (Q4); Software (Q4)";"Computer Science"
245;13427;"Bulletin of the Polish Academy of Sciences: Technical Sciences";journal;"23001917, 02397528";0,282;Q4;49;99;467;3094;587;463;1,30;31,25;Poland;Eastern Europe;"Polish Academy of Sciences";"1983-1988, 2004-2023";"Atomic and Molecular Physics, and Optics (Q3); Computer Networks and Communications (Q3); Engineering (miscellaneous) (Q3); Information Systems (Q3); Artificial Intelligence (Q4)";"Computer Science; Engineering; Physics and Astronomy"
246;19500157321;"Frontiers in Artificial Intelligence and Applications";book series;"09226389, 18798314";0,281;Q4;64;1234;1881;31433;1640;1740;0,59;25,47;Netherlands;Western Europe;"IOS Press BV";"2004-2023";"Artificial Intelligence (Q4)";"Computer Science"
