Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
23;21100456187;"International Journal of Rail Transportation";journal;"23248386, 23248378";0,951;Q1;31;79;88;3198;396;86;4,39;40,48;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2013-2023";"Automotive Engineering (Q1); Mechanics of Materials (Q1); Transportation (Q2)";"Engineering; Social Sciences"
24;21100934655;"International Journal of Transportation Science and Technology";journal;"20460430, 20460449";0,925;Q1;34;123;122;5818;623;122;4,72;47,30;China;Asiatic Region;"KeAi Communications Co.";"2012-2023";"Automotive Engineering (Q1); Civil and Structural Engineering (Q1); Management, Monitoring, Policy and Law (Q1); Transportation (Q2)";"Engineering; Environmental Science; Social Sciences"
25;21101053698;"Transportation Engineering";journal;"2666691X";0,873;Q1;18;62;144;3110;779;143;5,37;50,16;United Kingdom;Western Europe;"Elsevier Ltd";"2020-2023";"Aerospace Engineering (Q1); Automotive Engineering (Q1); Civil and Structural Engineering (Q1); Mechanical Engineering (Q1); Safety, Risk, Reliability and Quality (Q1)";"Engineering"
26;21101018848;"SAE International Journal of Vehicle Dynamics, Stability, and NVH";journal;"23802170, 23802162";0,854;Q1;17;28;91;1694;425;89;5,03;60,50;United States;Northern America;"SAE International";"2016-2023";"Automotive Engineering (Q1); Computational Mechanics (Q1); Control and Optimization (Q1); Mechanical Engineering (Q1)";"Engineering; Mathematics"
27;21092;"Mechanics Based Design of Structures and Machines";journal;"15397742, 15397734";0,778;Q1;52;521;352;23759;2354;351;6,48;45,60;United States;Northern America;"Taylor and Francis Ltd.";"2003-2023";"Aerospace Engineering (Q1); Automotive Engineering (Q1); Civil and Structural Engineering (Q1); Condensed Matter Physics (Q1); Mathematics (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Ocean Engineering (Q1)";"Engineering; Mathematics; Physics and Astronomy"
28;21100811143;"Propulsion and Power Research";journal;"2212540X";0,763;Q1;41;41;101;2225;582;101;5,75;54,27;Netherlands;Western Europe;"KeAi Communications Co.";"2012-2023";"Aerospace Engineering (Q1); Automotive Engineering (Q1); Fluid Flow and Transfer Processes (Q1); Mechanical Engineering (Q1); Fuel Technology (Q2)";"Chemical Engineering; Energy; Engineering"
29;20446;"International Journal of Engine Research";journal;"14680874, 20413149";0,700;Q1;66;317;497;13601;1818;492;3,40;42,91;United Kingdom;Western Europe;"SAGE Publications Ltd";"2000-2023";"Aerospace Engineering (Q1); Automotive Engineering (Q1); Mechanical Engineering (Q1); Ocean Engineering (Q2)";"Engineering"
30;13034;"JVC/Journal of Vibration and Control";journal;"10775463, 17412986";0,692;Q2;86;739;694;25624;2677;691;3,82;34,67;United States;Northern America;"SAGE Publications Inc.";"1995-2023";"Aerospace Engineering (Q2); Automotive Engineering (Q2); Materials Science (miscellaneous) (Q2); Mechanical Engineering (Q2); Mechanics of Materials (Q2)";"Engineering; Materials Science"
31;21101134423;"International Journal of Hydromechatronics";journal;"25150464, 25150472";0,660;Q2;16;20;70;742;338;70;5,18;37,10;United Kingdom;Western Europe;"Inderscience Publishers";"2019-2023";"Automotive Engineering (Q2); Electrical and Electronic Engineering (Q2); Materials Science (miscellaneous) (Q2); Mechanical Engineering (Q2)";"Engineering; Materials Science"
32;24998;"Computer Aided Geometric Design";journal;"01678396";0,602;Q2;77;40;197;1473;325;191;1,38;36,83;Netherlands;Western Europe;"Elsevier B.V.";"1984-2023";"Aerospace Engineering (Q2); Automotive Engineering (Q2); Computer Graphics and Computer-Aided Design (Q2); Modeling and Simulation (Q2)";"Computer Science; Engineering; Mathematics"
33;21101169023;"Journal of Advanced Research in Numerical Heat Transfer";journal;"27350142";0,592;Q2;11;19;35;437;162;35;5,24;23,00;Malaysia;Asiatic Region;"Penerbit Akademia Baru";"2020-2023";"Computational Mechanics (Q1); Aerospace Engineering (Q2); Automotive Engineering (Q2); Computational Theory and Mathematics (Q2); Environmental Science (miscellaneous) (Q2)";"Computer Science; Engineering; Environmental Science"
34;18895;"Journal of Advanced Transportation";journal;"01976729, 20423195";0,582;Q2;62;226;1341;9791;3598;1338;2,36;43,32;Egypt;Africa/Middle East;"Hindawi Limited";"1979-2023";"Automotive Engineering (Q2); Computer Science Applications (Q2); Economics and Econometrics (Q2); Mechanical Engineering (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance; Engineering"
35;19700201173;"World Electric Vehicle Journal";journal;"20326653";0,567;Q2;32;352;578;14065;2077;575;3,37;39,96;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2007-2013, 2015-2016, 2018-2023";"Automotive Engineering (Q2)";"Engineering"
36;21101034519;"Global Energy Interconnection";journal;"25900358, 20965117";0,541;Q2;24;60;177;1139;601;177;3,38;18,98;China;Asiatic Region;"KeAi Publishing Communications Ltd.";"2018-2023";"Automotive Engineering (Q2); Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Energy Engineering and Power Technology (Q2); Renewable Energy, Sustainability and the Environment (Q3)";"Energy; Engineering"
37;21101105296;"Vehicles";journal;"26248921";0,520;Q2;15;100;163;3926;502;161;3,31;39,26;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2019-2023";"Automotive Engineering (Q2); Electrical and Electronic Engineering (Q2)";"Engineering"
38;19800188068;"International Journal of Spray and Combustion Dynamics";journal;"17568277, 17568285";0,510;Q2;23;21;40;967;72;39;1,81;46,05;United Kingdom;Western Europe;"SAGE Publications Inc.";"2011-2023";"Automotive Engineering (Q2); Energy Engineering and Power Technology (Q2); Physics and Astronomy (miscellaneous) (Q2)";"Energy; Engineering; Physics and Astronomy"
39;21100197173;"International Journal of Energy for a Clean Environment";journal;"2150363X, 21503621";0,465;Q2;20;59;117;1841;189;111;1,44;31,20;United States;Northern America;"Begell House Inc.";"2008-2023";"Automotive Engineering (Q2); Energy Engineering and Power Technology (Q2); Pollution (Q3)";"Energy; Engineering; Environmental Science"
40;97382;"Journal of Traffic and Transportation Engineering";journal;"16711637";0,459;Q2;28;121;385;5622;876;385;2,06;46,46;China;Asiatic Region;"Chang'an University";"2004-2023";"Automotive Engineering (Q2); Civil and Structural Engineering (Q2)";"Engineering"
