Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
159;21100920033;"Mining, Metallurgy and Exploration";journal;"25243462, 25243470";0,397;Q3;36;182;564;6993;1153;558;1,94;38,42;Switzerland;Western Europe;"Springer International Publishing AG";"2019-2023";"Chemistry (miscellaneous) (Q2); Materials Chemistry (Q2); Mechanical Engineering (Q2); Metals and Alloys (Q2); Control and Systems Engineering (Q3); Geotechnical Engineering and Engineering Geology (Q3)";"Chemistry; Earth and Planetary Sciences; Engineering; Materials Science"
160;10700153305;"Journal of Power Electronics";journal;"15982092";0,391;Q3;41;185;508;4443;908;508;1,72;24,02;South Korea;Asiatic Region;"Korean Institute of Power Electronics";"2008-2023";"Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3)";"Engineering"
161;5300152203;"RIAI - Revista Iberoamericana de Automatica e Informatica Industrial";journal;"16977920, 16977912";0,391;Q3;21;45;132;1180;168;114;1,35;26,22;Spain;Western Europe;"Universitat Politecnica de Valencia";"2007-2023";"Computer Science (miscellaneous) (Q2); Control and Systems Engineering (Q3)";"Computer Science; Engineering"
162;21101089657;"Drone Systems and Applications";journal;"25644939";0,389;Q3;28;22;44;1015;113;41;1,59;46,14;Canada;Northern America;"Canadian Science Publishing";"2022-2023";"Automotive Engineering (Q2); Aerospace Engineering (Q3); Computer Science Applications (Q3); Control and Optimization (Q3); Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3)";"Computer Science; Engineering; Mathematics"
163;4700151736;"International Journal for Multiscale Computational Engineering";journal;"15431649";0,383;Q3;33;27;99;1240;144;88;1,61;45,93;United States;Northern America;"Begell House Inc.";"2006-2023";"Computational Mechanics (Q2); Computer Networks and Communications (Q3); Control and Systems Engineering (Q3)";"Computer Science; Engineering"
164;21100937108;"Smart and Sustainable Manufacturing Systems";journal;"25206478, 25723928";0,380;Q3;13;7;87;327;102;86;0,81;46,71;United States;Northern America;"ASTM International";"2017-2023";"Industrial and Manufacturing Engineering (Q2); Computer Science Applications (Q3); Control and Systems Engineering (Q3)";"Computer Science; Engineering"
165;17700156304;"Journal of Sensors";journal;"1687725X, 16877268";0,376;Q3;64;143;1177;4752;2410;1173;1,75;33,23;United States;Northern America;"Hindawi Limited";"2009-2023";"Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3); Instrumentation (Q3)";"Engineering; Physics and Astronomy"
166;19400158510;"Logistics Research";journal;"18650368, 1865035X";0,368;Q3;28;12;26;1076;49;26;2,13;89,67;Germany;Western Europe;"Bundesvereinigung Logistik (BVL)";"2009-2010, 2012-2023";"Management Information Systems (Q2); Computer Science Applications (Q3); Control and Systems Engineering (Q3); Information Systems (Q3); Management Science and Operations Research (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering"
167;21100901206;"IAES International Journal of Artificial Intelligence";journal;"20894872, 22528938";0,365;Q3;22;206;379;7015;1028;379;2,51;34,05;Indonesia;Asiatic Region;"Institute of Advanced Engineering and Science (IAES)";"2018-2023";"Artificial Intelligence (Q3); Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3); Information Systems and Management (Q3)";"Computer Science; Decision Sciences; Engineering"
168;21100456158;"IFAC-PapersOnLine";conference and proceedings;"24058963";0,365;-;92;2084;8038;41941;8886;7905;1,05;20,13;Netherlands;Western Europe;"Elsevier B.V.";"2002-2023";"Control and Systems Engineering";"Engineering"
