Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
77;19700170105;"Problems and Perspectives in Management";journal;"17277051, 18105467";0,313;Q3;30;231;528;11178;1059;528;1,94;48,39;Ukraine;Eastern Europe;"LLC CPC Business Perspectives";"2003-2023";"Law (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2); Business and International Management (Q3); Business, Management and Accounting (miscellaneous) (Q3); Information Systems and Management (Q3); Public Administration (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
78;21100896488;"International Journal of Business Intelligence Research";journal;"19473605, 19473591";0,308;Q3;8;3;16;129;38;16;2,45;43,00;United States;Northern America;"IGI Global Publishing";"2018-2023";"Information Systems and Management (Q3); Management Information Systems (Q3); Statistics, Probability and Uncertainty (Q3)";"Business, Management and Accounting; Decision Sciences"
79;3900148214;"International Journal of Business Information Systems";journal;"17460972, 17460980";0,302;Q3;34;81;236;4629;319;235;1,03;57,15;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2005-2023";"Information Systems and Management (Q3); Management Information Systems (Q3); Management of Technology and Innovation (Q3)";"Business, Management and Accounting; Decision Sciences"
80;21101071123;"Knowledge and Performance Management";journal;"26163829, 25435507";0,300;Q3;7;14;18;801;56;18;3,25;57,21;Ukraine;Eastern Europe;"LLC CPC Business Perspectives";"2019-2023";"Social Sciences (miscellaneous) (Q2); Business, Management and Accounting (miscellaneous) (Q3); Economics and Econometrics (Q3); Information Systems and Management (Q3); Management of Technology and Innovation (Q3); Marketing (Q3); Organizational Behavior and Human Resource Management (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Social Sciences"
81;4700152236;"International Journal of Globalisation and Small Business";journal;"14793059, 14793067";0,284;Q3;22;10;49;935;52;48;0,83;93,50;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2005-2023";"Business and International Management (Q3); Information Systems and Management (Q3); Management Science and Operations Research (Q3)";"Business, Management and Accounting; Decision Sciences"
82;6200180167;"International Journal of Technology Intelligence and Planning";journal;"17402832, 17402840";0,281;Q3;19;0;11;0;22;11;1,88;0,00;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2004-2022";"Information Systems and Management (Q3); Management Information Systems (Q3); Management of Technology and Innovation (Q3)";"Business, Management and Accounting; Decision Sciences"
83;21100943826;"Journal of Transport and Supply Chain Management";journal;"19955235, 23108789";0,278;Q3;9;23;80;1246;101;74;1,17;54,17;South Africa;Africa;"AOSIS (Pty) Ltd";"2018-2023";"Industrial and Manufacturing Engineering (Q3); Information Systems and Management (Q3); Management Information Systems (Q3); Management Science and Operations Research (Q3); Transportation (Q3)";"Business, Management and Accounting; Decision Sciences; Engineering; Social Sciences"
84;27334;"Network Security";trade journal;"13534858";0,275;Q3;30;0;102;0;125;102;0,73;0,00;United Kingdom;Western Europe;"MA Healthcare Ltd";"1994-2021";"Computer Networks and Communications (Q3); Information Systems and Management (Q3); Safety, Risk, Reliability and Quality (Q3)";"Computer Science; Decision Sciences; Engineering"
85;19700201511;"Interdisciplinary Journal of Information, Knowledge, and Management";journal;"15551237, 15551229";0,272;Q3;30;35;55;2577;117;55;2,21;73,63;United States;Northern America;"Informing Science Institute";"2006-2023";"Computer Science (miscellaneous) (Q3); Information Systems and Management (Q3)";"Computer Science; Decision Sciences"
86;20100195036;"International Journal of Healthcare Information Systems and Informatics";journal;"15553396, 1555340X";0,268;Q3;19;20;87;682;147;87;1,61;34,10;United States;Northern America;"IGI Global Publishing";"2006-2023";"Information Systems (Q3); Information Systems and Management (Q3); Medicine (miscellaneous) (Q3)";"Computer Science; Decision Sciences; Medicine"
87;4700151504;"International Journal of Logistics Systems and Management";journal;"17427975, 17427967";0,268;Q3;37;67;223;4307;317;222;0,86;64,28;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2004-2023";"Information Systems and Management (Q3); Management Information Systems (Q3); Management Science and Operations Research (Q4)";"Business, Management and Accounting; Decision Sciences"
88;21101032143;"Journal of Logistics, Informatics and Service Science";journal;"24092665";0,260;Q3;8;77;104;2836;209;104;1,98;36,83;Hong Kong;Asiatic Region;"";"2020-2023";"Computer Networks and Communications (Q3); Information Systems (Q3); Information Systems and Management (Q3); Management Information Systems (Q3); Management of Technology and Innovation (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences"
89;21100285029;"International Journal of Information and Decision Sciences";journal;"17567017, 17567025";0,259;Q3;18;20;62;951;86;62;0,39;47,55;Switzerland;Western Europe;"Inderscience";"2008, 2011, 2013-2023";"Information Systems and Management (Q3); Management of Technology and Innovation (Q3); Strategy and Management (Q3); Computer Science Applications (Q4)";"Business, Management and Accounting; Computer Science; Decision Sciences"
